f127.0.0.1:1111,127.0.0.1:2222	2160	1
f127.0.0.1:1111,127.0.0.1:2222	2160	-1	18	0
f127.0.0.1:1111,127.0.0.1:2222	2160	2	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	2164	1
f127.0.0.1:2222,127.0.0.1:1111	2164	2	0	17	4
f127.0.0.1:2222,127.0.0.1:1111	2165	1
f127.0.0.1:1111,127.0.0.1:2222	2166	2	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	2170	1
f127.0.0.1:2222,127.0.0.1:1111	2170	2	0	17	4
f127.0.0.1:2222,127.0.0.1:1111	2176	1
f127.0.0.1:2222,127.0.0.1:1111	2181	0
f127.0.0.1:1111,127.0.0.1:2222	3166	1	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	3170	0
f127.0.0.1:2222,127.0.0.1:1111	3170	1	0	18	4
f127.0.0.1:2222,127.0.0.1:1111	3176	0
f127.0.0.1:1111,127.0.0.1:2222	3176	1	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	3176	2	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	3180	1
f127.0.0.1:2222,127.0.0.1:1111	3180	2	0	19	4
f127.0.0.1:1111,127.0.0.1:2222	3184	1
f127.0.0.1:2222,127.0.0.1:1111	3184	2	0	20	4
f127.0.0.1:2222,127.0.0.1:1111	3184	1
f127.0.0.1:2222,127.0.0.1:1111	3184	-1	0	20
f127.0.0.1:2222,127.0.0.1:1111	3186	0
f127.0.0.1:1111,127.0.0.1:2222	3186	1	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	3190	0
f127.0.0.1:2222,127.0.0.1:1111	3190	1	0	21	4
f127.0.0.1:2222,127.0.0.1:1111	3196	0
f127.0.0.1:1111,127.0.0.1:2222	3196	1	22	0	3
f127.0.0.1:1111,127.0.0.1:2222	3196	2	23	0	3
f127.0.0.1:1111,127.0.0.1:2222	3196	3	24	0	3
f127.0.0.1:1111,127.0.0.1:2222	3196	2
f127.0.0.1:1111,127.0.0.1:2222	3196	-1	24	0
f127.0.0.1:1111,127.0.0.1:2222	3201	1
f127.0.0.1:2222,127.0.0.1:1111	3201	2	0	22	4
f127.0.0.1:1111,127.0.0.1:2222	3204	1
f127.0.0.1:2222,127.0.0.1:1111	3204	2	0	23	4
f127.0.0.1:2222,127.0.0.1:1111	3206	1
f127.0.0.1:1111,127.0.0.1:2222	3207	2	25	0	3
f127.0.0.1:1111,127.0.0.1:2222	3211	1
f127.0.0.1:2222,127.0.0.1:1111	3211	2	0	23	4
f127.0.0.1:2222,127.0.0.1:1111	3216	1
f127.0.0.1:1111,127.0.0.1:2222	3216	2	26	0	3
f127.0.0.1:1111,127.0.0.1:2222	3220	1
f127.0.0.1:2222,127.0.0.1:1111	3221	2	0	23	4
f127.0.0.1:2222,127.0.0.1:1111	3222	1
f127.0.0.1:2222,127.0.0.1:1111	3232	0
f127.0.0.1:1111,127.0.0.1:2222	4216	1	24	0	3
